year,variable,value,desc
2022,emosupfam,.n,Not in universe
2016,emosupfam,1,Yes
2017,emosupfam,1,Yes
2018,emosupfam,1,Yes
2019,emosupfam,1,Yes
2020,emosupfam,1,Yes
2021,emosupfam,1,Yes
2022,emosupfam,1,Yes
2016,emosupfam,2,No
2017,emosupfam,2,No
2018,emosupfam,2,No
2019,emosupfam,2,No
2020,emosupfam,2,No
2021,emosupfam,2,No
2022,emosupfam,2,No
2016,emosuphcp,.d,Suppressed for confidentiality
2017,emosuphcp,.d,Suppressed for confidentiality
2018,emosuphcp,.d,Suppressed for confidentiality
2019,emosuphcp,.d,Suppressed for confidentiality
2020,emosuphcp,.d,Suppressed for confidentiality
2021,emosuphcp,.d,Suppressed for confidentiality
2022,emosuphcp,.d,Suppressed for confidentiality
2016,emosuphcp,.l,Logical skip
2017,emosuphcp,.l,Logical skip
2018,emosuphcp,.l,Logical skip
2019,emosuphcp,.l,Logical skip
2020,emosuphcp,.l,Logical skip
2021,emosuphcp,.l,Logical skip
2022,emosuphcp,.l,Logical skip
2016,emosuphcp,.m,No valid response
2017,emosuphcp,.m,No valid response
2018,emosuphcp,.m,No valid response
2019,emosuphcp,.m,No valid response
2020,emosuphcp,.m,No valid response
2021,emosuphcp,.m,No valid response
2022,emosuphcp,.m,No valid response
2016,emosuphcp,.n,Not in universe
2017,emosuphcp,.n,Not in universe
2018,emosuphcp,.n,Not in universe
2019,emosuphcp,.n,Not in universe
2020,emosuphcp,.n,Not in universe
2021,emosuphcp,.n,Not in universe
2022,emosuphcp,.n,Not in universe
2016,emosuphcp,1,Yes
2017,emosuphcp,1,Yes
2018,emosuphcp,1,Yes
2019,emosuphcp,1,Yes
2020,emosuphcp,1,Yes
2021,emosuphcp,1,Yes
2022,emosuphcp,1,Yes
2016,emosuphcp,2,No
2017,emosuphcp,2,No
2018,emosuphcp,2,No
2019,emosuphcp,2,No
2020,emosuphcp,2,No
2021,emosuphcp,2,No
2022,emosuphcp,2,No
2016,emosupmhp,.d,Suppressed for confidentiality
2017,emosupmhp,.d,Suppressed for confidentiality
2018,emosupmhp,.d,Suppressed for confidentiality
2019,emosupmhp,.d,Suppressed for confidentiality
2020,emosupmhp,.d,Suppressed for confidentiality
2021,emosupmhp,.d,Suppressed for confidentiality
2022,emosupmhp,.d,Suppressed for confidentiality
2016,emosupmhp,.l,Logical skip
2017,emosupmhp,.l,Logical skip
2018,emosupmhp,.l,Logical skip
2019,emosupmhp,.l,Logical skip
2020,emosupmhp,.l,Logical skip
2021,emosupmhp,.l,Logical skip
2022,emosupmhp,.l,Logical skip
2016,emosupmhp,.m,No valid response
2017,emosupmhp,.m,No valid response
2018,emosupmhp,.m,No valid response
2019,emosupmhp,.m,No valid response
2020,emosupmhp,.m,No valid response
2021,emosupmhp,.m,No valid response
2022,emosupmhp,.m,No valid response
2016,emosupmhp,.n,Not in universe
2017,emosupmhp,.n,Not in universe
2018,emosupmhp,.n,Not in universe
2019,emosupmhp,.n,Not in universe
2020,emosupmhp,.n,Not in universe
2021,emosupmhp,.n,Not in universe
2022,emosupmhp,.n,Not in universe
2016,emosupmhp,1,Yes
2017,emosupmhp,1,Yes
2018,emosupmhp,1,Yes
2019,emosupmhp,1,Yes
2020,emosupmhp,1,Yes
2021,emosupmhp,1,Yes
2022,emosupmhp,1,Yes
2016,emosupmhp,2,No
2017,emosupmhp,2,No
2018,emosupmhp,2,No
2019,emosupmhp,2,No
2020,emosupmhp,2,No
2021,emosupmhp,2,No
2022,emosupmhp,2,No
2016,emosupoth,.d,Suppressed for confidentiality
2017,emosupoth,.d,Suppressed for confidentiality
2018,emosupoth,.d,Suppressed for confidentiality
2019,emosupoth,.d,Suppressed for confidentiality
2020,emosupoth,.d,Suppressed for confidentiality
2021,emosupoth,.d,Suppressed for confidentiality
2022,emosupoth,.d,Suppressed for confidentiality
2016,emosupoth,.l,Logical skip
2017,emosupoth,.l,Logical skip
2018,emosupoth,.l,Logical skip
2019,emosupoth,.l,Logical skip
2020,emosupoth,.l,Logical skip
2021,emosupoth,.l,Logical skip
2022,emosupoth,.l,Logical skip
2016,emosupoth,.m,No valid response
2017,emosupoth,.m,No valid response
2018,emosupoth,.m,No valid response
2019,emosupoth,.m,No valid response
2020,emosupoth,.m,No valid response
2021,emosupoth,.m,No valid response
2022,emosupoth,.m,No valid response
2016,emosupoth,.n,Not in universe
2017,emosupoth,.n,Not in universe
2018,emosupoth,.n,Not in universe
2019,emosupoth,.n,Not in universe
2020,emosupoth,.n,Not in universe
2021,emosupoth,.n,Not in universe
2022,emosupoth,.n,Not in universe
2016,emosupoth,1,Yes
2017,emosupoth,1,Yes
2018,emosupoth,1,Yes
2019,emosupoth,1,Yes
2020,emosupoth,1,Yes
2021,emosupoth,1,Yes
2022,emosupoth,1,Yes
2016,emosupoth,2,No
2017,emosupoth,2,No
2018,emosupoth,2,No
2019,emosupoth,2,No
2020,emosupoth,2,No
2021,emosupoth,2,No
2022,emosupoth,2,No
2016,emosuppeer,.d,Suppressed for confidentiality
2017,emosuppeer,.d,Suppressed for confidentiality
2018,emosuppeer,.d,Suppressed for confidentiality
2019,emosuppeer,.d,Suppressed for confidentiality
2020,emosuppeer,.d,Suppressed for confidentiality
2021,emosuppeer,.d,Suppressed for confidentiality
2022,emosuppeer,.d,Suppressed for confidentiality
2016,emosuppeer,.l,Logical skip
2017,emosuppeer,.l,Logical skip
2018,emosuppeer,.l,Logical skip
2019,emosuppeer,.l,Logical skip
2020,emosuppeer,.l,Logical skip
2021,emosuppeer,.l,Logical skip
2022,emosuppeer,.l,Logical skip
2016,emosuppeer,.m,No valid response
2017,emosuppeer,.m,No valid response
2018,emosuppeer,.m,No valid response
2019,emosuppeer,.m,No valid response
2020,emosuppeer,.m,No valid response
2021,emosuppeer,.m,No valid response
2022,emosuppeer,.m,No valid response
2016,emosuppeer,.n,Not in universe
2017,emosuppeer,.n,Not in universe
2018,emosuppeer,.n,Not in universe
2019,emosuppeer,.n,Not in universe
2020,emosuppeer,.n,Not in universe
2021,emosuppeer,.n,Not in universe
2022,emosuppeer,.n,Not in universe
2016,emosuppeer,1,Yes
2017,emosuppeer,1,Yes
2018,emosuppeer,1,Yes
2019,emosuppeer,1,Yes
2020,emosuppeer,1,Yes
2021,emosuppeer,1,Yes
2022,emosuppeer,1,Yes
2016,emosuppeer,2,No
2017,emosuppeer,2,No
2018,emosuppeer,2,No
2019,emosuppeer,2,No
2020,emosuppeer,2,No
2021,emosuppeer,2,No
2022,emosuppeer,2,No
2016,emosupspo,.d,Suppressed for confidentiality
2017,emosupspo,.d,Suppressed for confidentiality
2018,emosupspo,.d,Suppressed for confidentiality
2019,emosupspo,.d,Suppressed for confidentiality
2020,emosupspo,.d,Suppressed for confidentiality
2021,emosupspo,.d,Suppressed for confidentiality
2022,emosupspo,.d,Suppressed for confidentiality
2016,emosupspo,.l,Logical skip
2017,emosupspo,.l,Logical skip
2018,emosupspo,.l,Logical skip
2019,emosupspo,.l,Logical skip
2020,emosupspo,.l,Logical skip
2021,emosupspo,.l,Logical skip
2022,emosupspo,.l,Logical skip
2016,emosupspo,.m,No valid response
2017,emosupspo,.m,No valid response
2018,emosupspo,.m,No valid response
2019,emosupspo,.m,No valid response
2020,emosupspo,.m,No valid response
2021,emosupspo,.m,No valid response
2022,emosupspo,.m,No valid response
2016,emosupspo,.n,Not in universe
2017,emosupspo,.n,Not in universe
2018,emosupspo,.n,Not in universe
2019,emosupspo,.n,Not in universe
2020,emosupspo,.n,Not in universe
2021,emosupspo,.n,Not in universe
2022,emosupspo,.n,Not in universe
2016,emosupspo,1,Yes
2017,emosupspo,1,Yes
2018,emosupspo,1,Yes
2019,emosupspo,1,Yes
2020,emosupspo,1,Yes
2021,emosupspo,1,Yes
2022,emosupspo,1,Yes
2016,emosupspo,2,No
2017,emosupspo,2,No
2018,emosupspo,2,No
2019,emosupspo,2,No
2020,emosupspo,2,No
2021,emosupspo,2,No
2022,emosupspo,2,No
2016,emosupwor,.d,Suppressed for confidentiality
2017,emosupwor,.d,Suppressed for confidentiality
2018,emosupwor,.d,Suppressed for confidentiality
2019,emosupwor,.d,Suppressed for confidentiality
2020,emosupwor,.d,Suppressed for confidentiality
2021,emosupwor,.d,Suppressed for confidentiality
2022,emosupwor,.d,Suppressed for confidentiality
2016,emosupwor,.l,Logical skip
2017,emosupwor,.l,Logical skip
2018,emosupwor,.l,Logical skip
2019,emosupwor,.l,Logical skip
2020,emosupwor,.l,Logical skip
2021,emosupwor,.l,Logical skip
2022,emosupwor,.l,Logical skip
2016,emosupwor,.m,No valid response
2017,emosupwor,.m,No valid response
2018,emosupwor,.m,No valid response
2019,emosupwor,.m,No valid response
2020,emosupwor,.m,No valid response
2021,emosupwor,.m,No valid response
2022,emosupwor,.m,No valid response
2016,emosupwor,.n,Not in universe
2017,emosupwor,.n,Not in universe
2018,emosupwor,.n,Not in universe
2019,emosupwor,.n,Not in universe
2020,emosupwor,.n,Not in universe
2021,emosupwor,.n,Not in universe
2022,emosupwor,.n,Not in universe
2016,emosupwor,1,Yes
2017,emosupwor,1,Yes
2018,emosupwor,1,Yes
2019,emosupwor,1,Yes
2020,emosupwor,1,Yes
2021,emosupwor,1,Yes
2022,emosupwor,1,Yes
2016,emosupwor,2,No
2017,emosupwor,2,No
2018,emosupwor,2,No
2019,emosupwor,2,No
2020,emosupwor,2,No
2021,emosupwor,2,No
2022,emosupwor,2,No
2022,engage_binge,.d,Suppressed for confidentiality
2022,engage_binge,.l,Logical skip
2022,engage_binge,.m,No valid response
2022,engage_binge,.n,Not in universe
2022,engage_binge,1,Yes
2022,engage_binge,2,No
2022,engage_exercise,.d,Suppressed for confidentiality
2022,engage_exercise,.l,Logical skip
2022,engage_exercise,.m,No valid response
2022,engage_exercise,.n,Not in universe
2022,engage_exercise,1,Yes
2022,engage_exercise,2,No
2022,engage_fast,.d,Suppressed for confidentiality
2022,engage_fast,.l,Logical skip
2022,engage_fast,.m,No valid response
2022,engage_fast,.n,Not in universe
2022,engage_fast,1,Yes
2022,engage_fast,2,No
2022,engage_interest,.d,Suppressed for confidentiality
2022,engage_interest,.l,Logical skip
2022,engage_interest,.m,No valid response
2022,engage_interest,.n,Not in universe
2022,engage_interest,1,Yes
2022,engage_interest,2,No
2022,engage_noeat,.d,Suppressed for confidentiality
2022,engage_noeat,.l,Logical skip
2022,engage_noeat,.m,No valid response
2022,engage_noeat,.n,Not in universe
2022,engage_noeat,1,Yes
2022,engage_noeat,2,No
2022,engage_picky,.d,Suppressed for confidentiality
2022,engage_picky,.l,Logical skip
2022,engage_picky,.m,No valid response
2022,engage_picky,.n,Not in universe
2022,engage_picky,1,Yes
2022,engage_picky,2,No
2022,engage_pills,.d,Suppressed for confidentiality
2022,engage_pills,.l,Logical skip
2022,engage_pills,.m,No valid response
2022,engage_pills,.n,Not in universe
2022,engage_pills,1,Yes
2022,engage_pills,2,No
2022,engage_purg,.d,Suppressed for confidentiality
2022,engage_purg,.l,Logical skip
2022,engage_purg,.m,No valid response
2022,engage_purg,.n,Not in universe
2022,engage_purg,1,Yes
2022,engage_purg,2,No
2022,engageconcern,.d,Suppressed for confidentiality
2022,engageconcern,.l,Logical skip
2022,engageconcern,.m,No valid response
2022,engageconcern,.n,Not in universe
2022,engageconcern,1,Very much
2022,engageconcern,2,Somewhat
2022,engageconcern,3,Not at all
2016,errandalone,.d,Suppressed for confidentiality
2017,errandalone,.d,Suppressed for confidentiality
2018,errandalone,.d,Suppressed for confidentiality
2019,errandalone,.d,Suppressed for confidentiality
2020,errandalone,.d,Suppressed for confidentiality
2021,errandalone,.d,Suppressed for confidentiality
2022,errandalone,.d,Suppressed for confidentiality
2016,errandalone,.l,Logical skip
2017,errandalone,.l,Logical skip
2018,errandalone,.l,Logical skip
2019,errandalone,.l,Logical skip
2020,errandalone,.l,Logical skip
2021,errandalone,.l,Logical skip
2022,errandalone,.l,Logical skip
2016,errandalone,.m,No valid response
2017,errandalone,.m,No valid response
2018,errandalone,.m,No valid response
2019,errandalone,.m,No valid response
2020,errandalone,.m,No valid response
2021,errandalone,.m,No valid response
2022,errandalone,.m,No valid response
2016,errandalone,.n,Not in universe
2017,errandalone,.n,Not in universe
2018,errandalone,.n,Not in universe
2019,errandalone,.n,Not in universe
2020,errandalone,.n,Not in universe
2021,errandalone,.n,Not in universe
2022,errandalone,.n,Not in universe
2016,errandalone,1,Yes
2017,errandalone,1,Yes
2018,errandalone,1,Yes
2019,errandalone,1,Yes
2020,errandalone,1,Yes
2021,errandalone,1,Yes
2022,errandalone,1,Yes
2016,errandalone,2,No
2017,errandalone,2,No
2018,errandalone,2,No
2019,errandalone,2,No
2020,errandalone,2,No
2021,errandalone,2,No
2022,errandalone,2,No
2022,evalfasd,.d,Suppressed for confidentiality
2022,evalfasd,.l,Logical skip
2022,evalfasd,.m,No valid response
2022,evalfasd,.n,Not in universe
2022,evalfasd,1,Yes
2022,evalfasd,2,No
2022,evalfasd,3,Don't Know
2022,everhomeless,.d,Suppressed for confidentiality
2022,everhomeless,.l,Logical skip
2022,everhomeless,.m,No valid response
2022,everhomeless,.n,Not in universe
2022,everhomeless,1,Yes
2022,everhomeless,2,No
2022,everhomeless,3,Don't Know
2016,expulsion,.d,Suppressed for confidentiality
2016,expulsion,.l,Logical skip
2016,expulsion,.m,No valid response
2016,expulsion,.n,Not in universe
2016,expulsion,1,This child did not attend child care or preschool
2016,expulsion,2,No
2016,expulsion,3,"Yes, I was told to pick up my child early on 1 or more days"
2016,expulsion,4,"Yes, I had to keep my child home for 1 full day or more"
2016,expulsion,5,"Yes, permanently I was told my child could no longer attend this child care center or preschool"
2021,eyecare1,.d,Suppressed for confidentiality
2022,eyecare1,.d,Suppressed for confidentiality
2021,eyecare1,.l,Logical skip
2022,eyecare1,.l,Logical skip
2021,eyecare1,.m,No valid response
2022,eyecare1,.m,No valid response
2021,eyecare1,.n,Not in universe
2022,eyecare1,.n,Not in universe
2021,eyecare1,1,selected
2022,eyecare1,1,selected
2021,eyecare1,2,not selected
2022,eyecare1,2,not selected
2021,eyecare2,.d,Suppressed for confidentiality
2022,eyecare2,.d,Suppressed for confidentiality
2021,eyecare2,.l,Logical skip
2022,eyecare2,.l,Logical skip
2021,eyecare2,.m,No valid response
2022,eyecare2,.m,No valid response
2021,eyecare2,.n,Not in universe
2022,eyecare2,.n,Not in universe
2021,eyecare2,1,selected
2022,eyecare2,1,selected
2021,eyecare2,2,not selected
2022,eyecare2,2,not selected
2021,eyecare3,.d,Suppressed for confidentiality
2022,eyecare3,.d,Suppressed for confidentiality
2021,eyecare3,.l,Logical skip
2022,eyecare3,.l,Logical skip
2021,eyecare3,.m,No valid response
2022,eyecare3,.m,No valid response
2021,eyecare3,.n,Not in universe
2022,eyecare3,.n,Not in universe
2021,eyecare3,1,selected
2022,eyecare3,1,selected
2021,eyecare3,2,not selected
2022,eyecare3,2,not selected
2021,eyecare4,.d,Suppressed for confidentiality
2022,eyecare4,.d,Suppressed for confidentiality
2021,eyecare4,.l,Logical skip
2022,eyecare4,.l,Logical skip
2021,eyecare4,.m,No valid response
2022,eyecare4,.m,No valid response
2021,eyecare4,.n,Not in universe
2022,eyecare4,.n,Not in universe
2021,eyecare4,1,selected
2022,eyecare4,1,selected
2021,eyecare4,2,not selected
2022,eyecare4,2,not selected
2021,eyedoctor,.d,Suppressed for confidentiality
2022,eyedoctor,.d,Suppressed for confidentiality
2021,eyedoctor,.l,Logical skip
2022,eyedoctor,.l,Logical skip
2021,eyedoctor,.m,No valid response
2022,eyedoctor,.m,No valid response
2021,eyedoctor,.n,Not in universe
2022,eyedoctor,.n,Not in universe
2021,eyedoctor,1,Yes
2022,eyedoctor,1,Yes
2021,eyedoctor,2,No
2022,eyedoctor,2,No
2017,famcount,.d,Suppressed for confidentiality
2018,famcount,.d,Suppressed for confidentiality
2019,famcount,.d,Suppressed for confidentiality
2020,famcount,.d,Suppressed for confidentiality
2021,famcount,.d,Suppressed for confidentiality
2022,famcount,.d,Suppressed for confidentiality
2017,famcount,.l,Logical skip
2018,famcount,.l,Logical skip
2019,famcount,.l,Logical skip
2020,famcount,.l,Logical skip
2021,famcount,.l,Logical skip
2022,famcount,.l,Logical skip
2017,famcount,.m,No valid response
2018,famcount,.m,No valid response
2019,famcount,.m,No valid response
2020,famcount,.m,No valid response
2021,famcount,.m,No valid response
2022,famcount,.m,No valid response
2017,famcount,.n,Not in universe
2018,famcount,.n,Not in universe
2019,famcount,.n,Not in universe
2020,famcount,.n,Not in universe
2021,famcount,.n,Not in universe
2022,famcount,.n,Not in universe
2016,famcount,8,8 or more
2017,famcount,8,8 or more
2018,famcount,8,8 or more
2019,famcount,8,8 or more
2020,famcount,8,8 or more
2021,famcount,8,8 or more
2022,famcount,8,8 or more
2016,family,.d,Suppressed for confidentiality
2016,family,.l,Logical skip
2016,family,.m,No valid response
2016,family,.n,Not in universe
2016,family,1,"Two biogical/adoptive parents, currently married"
2016,family,2,"Two biogical/adoptive parents, not currently married"
2016,family,3,"Two parents (at least one not biological/adoptive), currently married"
2016,family,4,"Two parents (at least one not biological/adoptive), not currently married"
2016,family,5,"One mother, currently married (living apart) or formerly married"
2016,family,6,"One mother, never married"
2016,family,7,"Other, currently married or formerly married"
2016,family,8,"Other, never married"
2016,family,9,"Other, no parent in household"
2017,family_r,.d,Suppressed for confidentiality
2018,family_r,.d,Suppressed for confidentiality
2019,family_r,.d,Suppressed for confidentiality
2020,family_r,.d,Suppressed for confidentiality
2021,family_r,.d,Suppressed for confidentiality
2022,family_r,.d,Suppressed for confidentiality
2017,family_r,.l,Logical skip
2018,family_r,.l,Logical skip
2019,family_r,.l,Logical skip
2020,family_r,.l,Logical skip
2021,family_r,.l,Logical skip
2022,family_r,.l,Logical skip
2017,family_r,.m,No valid response
2018,family_r,.m,No valid response
2019,family_r,.m,No valid response
2020,family_r,.m,No valid response
2021,family_r,.m,No valid response
2022,family_r,.m,No valid response
2017,family_r,.n,Not in universe
2018,family_r,.n,Not in universe
2019,family_r,.n,Not in universe
2020,family_r,.n,Not in universe
2021,family_r,.n,Not in universe
2022,family_r,.n,Not in universe
2017,family_r,1,"Two biogical/adoptive parents, currently married"
2018,family_r,1,"Two biogical/adoptive parents, currently married"
2019,family_r,1,"Two biogical/adoptive parents, currently married"
2020,family_r,1,"Two biogical/adoptive parents, currently married"
2021,family_r,1,"Two biogical/adoptive parents, currently married"
2022,family_r,1,"Two biogical/adoptive parents, currently married"
2017,family_r,2,"Two biogical/adoptive parents, not currently married"
2018,family_r,2,"Two biogical/adoptive parents, not currently married"
2019,family_r,2,"Two biogical/adoptive parents, not currently married"
2020,family_r,2,"Two biogical/adoptive parents, not currently married"
2021,family_r,2,"Two biogical/adoptive parents, not currently married"
2022,family_r,2,"Two biogical/adoptive parents, not currently married"
2017,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2018,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2019,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2020,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2021,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2022,family_r,3,"Two parents (at least one not biological/adoptive), currently married"
2017,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2018,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2019,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2020,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2021,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2022,family_r,4,"Two parents (at least one not biological/adoptive), not currently married"
2017,family_r,5,Single mother
2018,family_r,5,Single mother
2019,family_r,5,Single mother
2020,family_r,5,Single mother
2021,family_r,5,Single mother
2022,family_r,5,Single mother
2017,family_r,6,Single father
2018,family_r,6,Single father
2019,family_r,6,Single father
2020,family_r,6,Single father
2021,family_r,6,Single father
2022,family_r,6,Single father
2017,family_r,7,Grandparent household
2018,family_r,7,Grandparent household
2019,family_r,7,Grandparent household
2020,family_r,7,Grandparent household
2021,family_r,7,Grandparent household
2022,family_r,7,Grandparent household
2017,family_r,8,Other relation
2018,family_r,8,Other relation
2019,family_r,8,Other relation
2020,family_r,8,Other relation
2021,family_r,8,Other relation
2022,family_r,8,Other relation
2022,fasd,.d,Suppressed for confidentiality
2022,fasd,.l,Logical skip
2022,fasd,.m,No valid response
2022,fasd,.n,Not in universe
2022,fasd,1,Yes
2022,fasd,2,No
2017,fipsst,.d,Suppressed for confidentiality
2018,fipsst,.d,Suppressed for confidentiality
2019,fipsst,.d,Suppressed for confidentiality
2020,fipsst,.d,Suppressed for confidentiality
2021,fipsst,.d,Suppressed for confidentiality
2022,fipsst,.d,Suppressed for confidentiality
2017,fipsst,.l,Logical skip
2018,fipsst,.l,Logical skip
2019,fipsst,.l,Logical skip
2020,fipsst,.l,Logical skip
2021,fipsst,.l,Logical skip
2022,fipsst,.l,Logical skip
2017,fipsst,.m,No valid response
2018,fipsst,.m,No valid response
2019,fipsst,.m,No valid response
2020,fipsst,.m,No valid response
2021,fipsst,.m,No valid response
2022,fipsst,.m,No valid response
2017,fipsst,.n,Not in universe
2018,fipsst,.n,Not in universe
2019,fipsst,.n,Not in universe
2020,fipsst,.n,Not in universe
2021,fipsst,.n,Not in universe
2022,fipsst,.n,Not in universe
2016,fipsst,01,Alabama
2017,fipsst,01,Alabama
2018,fipsst,01,Alabama
2019,fipsst,01,Alabama
2020,fipsst,01,Alabama
2021,fipsst,01,Alabama
2022,fipsst,01,Alabama
2016,fipsst,02,Alaska
2017,fipsst,02,Alaska
2018,fipsst,02,Alaska
2019,fipsst,02,Alaska
2020,fipsst,02,Alaska
2021,fipsst,02,Alaska
2022,fipsst,02,Alaska
2016,fipsst,04,Arizona
2017,fipsst,04,Arizona
2018,fipsst,04,Arizona
2019,fipsst,04,Arizona
2020,fipsst,04,Arizona
2021,fipsst,04,Arizona
2022,fipsst,04,Arizona
2016,fipsst,05,Arkansas
2017,fipsst,05,Arkansas
2018,fipsst,05,Arkansas
2019,fipsst,05,Arkansas
2020,fipsst,05,Arkansas
2021,fipsst,05,Arkansas
2022,fipsst,05,Arkansas
2016,fipsst,06,California
2017,fipsst,06,California
2018,fipsst,06,California
2019,fipsst,06,California
2020,fipsst,06,California
2021,fipsst,06,California
2022,fipsst,06,California
2016,fipsst,08,Colorado
2017,fipsst,08,Colorado
2018,fipsst,08,Colorado
2019,fipsst,08,Colorado
2020,fipsst,08,Colorado
2021,fipsst,08,Colorado
2022,fipsst,08,Colorado
2016,fipsst,09,Connecticut
2017,fipsst,09,Connecticut
2018,fipsst,09,Connecticut
2019,fipsst,09,Connecticut
2020,fipsst,09,Connecticut
2021,fipsst,09,Connecticut
2022,fipsst,09,Connecticut
2016,fipsst,10,Delaware
2017,fipsst,10,Delaware
2018,fipsst,10,Delaware
2019,fipsst,10,Delaware
2020,fipsst,10,Delaware
2021,fipsst,10,Delaware
2022,fipsst,10,Delaware
2016,fipsst,11,District of Columbia
2017,fipsst,11,District of Columbia
2018,fipsst,11,District of Columbia
2019,fipsst,11,District of Columbia
2020,fipsst,11,District of Columbia
2021,fipsst,11,District of Columbia
2022,fipsst,11,District of Columbia
2016,fipsst,12,Florida
2017,fipsst,12,Florida
2018,fipsst,12,Florida
2019,fipsst,12,Florida
2020,fipsst,12,Florida
2021,fipsst,12,Florida
2022,fipsst,12,Florida
2016,fipsst,13,Georgia
2017,fipsst,13,Georgia
2018,fipsst,13,Georgia
2019,fipsst,13,Georgia
2020,fipsst,13,Georgia
2021,fipsst,13,Georgia
2022,fipsst,13,Georgia
2016,fipsst,15,Hawaii
2017,fipsst,15,Hawaii
2018,fipsst,15,Hawaii
2019,fipsst,15,Hawaii
2020,fipsst,15,Hawaii
2021,fipsst,15,Hawaii
2022,fipsst,15,Hawaii
2016,fipsst,16,Idaho
2017,fipsst,16,Idaho
2018,fipsst,16,Idaho
2019,fipsst,16,Idaho
2020,fipsst,16,Idaho
2021,fipsst,16,Idaho
2022,fipsst,16,Idaho
2016,fipsst,17,Illinois
2017,fipsst,17,Illinois
2018,fipsst,17,Illinois
2019,fipsst,17,Illinois
2020,fipsst,17,Illinois
2021,fipsst,17,Illinois
2022,fipsst,17,Illinois
2016,fipsst,18,Indiana
2017,fipsst,18,Indiana
2018,fipsst,18,Indiana
2019,fipsst,18,Indiana
2020,fipsst,18,Indiana
2021,fipsst,18,Indiana
2022,fipsst,18,Indiana
2016,fipsst,19,Iowa
2017,fipsst,19,Iowa
2018,fipsst,19,Iowa
2019,fipsst,19,Iowa
2020,fipsst,19,Iowa
2021,fipsst,19,Iowa
2022,fipsst,19,Iowa
2016,fipsst,20,Kansas
2017,fipsst,20,Kansas
2018,fipsst,20,Kansas
2019,fipsst,20,Kansas
2020,fipsst,20,Kansas
2021,fipsst,20,Kansas
2022,fipsst,20,Kansas
2016,fipsst,21,Kentucky
2017,fipsst,21,Kentucky
2018,fipsst,21,Kentucky
2019,fipsst,21,Kentucky
2020,fipsst,21,Kentucky
2021,fipsst,21,Kentucky
2022,fipsst,21,Kentucky
2016,fipsst,22,Louisiana
2017,fipsst,22,Louisiana
2018,fipsst,22,Louisiana
2019,fipsst,22,Louisiana
2020,fipsst,22,Louisiana
2021,fipsst,22,Louisiana
2022,fipsst,22,Louisiana
2016,fipsst,23,Maine
2017,fipsst,23,Maine
2018,fipsst,23,Maine
2019,fipsst,23,Maine
2020,fipsst,23,Maine
2021,fipsst,23,Maine
2022,fipsst,23,Maine
2016,fipsst,24,Maryland
2017,fipsst,24,Maryland
2018,fipsst,24,Maryland
2019,fipsst,24,Maryland
2020,fipsst,24,Maryland
2021,fipsst,24,Maryland
2022,fipsst,24,Maryland
2016,fipsst,25,Massachusetts
2017,fipsst,25,Massachusetts
2018,fipsst,25,Massachusetts
2019,fipsst,25,Massachusetts
2020,fipsst,25,Massachusetts
2021,fipsst,25,Massachusetts
2022,fipsst,25,Massachusetts
2016,fipsst,26,Michigan
2017,fipsst,26,Michigan
2018,fipsst,26,Michigan
2019,fipsst,26,Michigan
2020,fipsst,26,Michigan
2021,fipsst,26,Michigan
2022,fipsst,26,Michigan
2016,fipsst,27,Minnesota
2017,fipsst,27,Minnesota
2018,fipsst,27,Minnesota
2019,fipsst,27,Minnesota
2020,fipsst,27,Minnesota
2021,fipsst,27,Minnesota
2022,fipsst,27,Minnesota
2016,fipsst,28,Mississippi
2017,fipsst,28,Mississippi
2018,fipsst,28,Mississippi
2019,fipsst,28,Mississippi
2020,fipsst,28,Mississippi
2021,fipsst,28,Mississippi
2022,fipsst,28,Mississippi
2016,fipsst,29,Missouri
2017,fipsst,29,Missouri
2018,fipsst,29,Missouri
2019,fipsst,29,Missouri
2020,fipsst,29,Missouri
2021,fipsst,29,Missouri
2022,fipsst,29,Missouri
2016,fipsst,30,Montana
2017,fipsst,30,Montana
2018,fipsst,30,Montana
2019,fipsst,30,Montana
2020,fipsst,30,Montana
2021,fipsst,30,Montana
2022,fipsst,30,Montana
2016,fipsst,31,Nebraska
2017,fipsst,31,Nebraska
2018,fipsst,31,Nebraska
2019,fipsst,31,Nebraska
2020,fipsst,31,Nebraska
2021,fipsst,31,Nebraska
2022,fipsst,31,Nebraska
2016,fipsst,32,Nevada
2017,fipsst,32,Nevada
2018,fipsst,32,Nevada
2019,fipsst,32,Nevada
2020,fipsst,32,Nevada
2021,fipsst,32,Nevada
2022,fipsst,32,Nevada
2016,fipsst,33,New Hampshire
2017,fipsst,33,New Hampshire
2018,fipsst,33,New Hampshire
2019,fipsst,33,New Hampshire
2020,fipsst,33,New Hampshire
2021,fipsst,33,New Hampshire
2022,fipsst,33,New Hampshire
2016,fipsst,34,New Jersey
2017,fipsst,34,New Jersey
