variable,desc
a1_active,Adult 1 - Active Duty
a1_age,Adult 1 - Age in Years
a1_born,Adult 1 - Where Born
a1_deplstat,Adult 1 - Deployment Status
a1_employed,Adult 1 - Current Employment Status
a1_grade,Adult 1 - Highest Completed Year of School
a1_grade_if,Imputation Flag for A1_GRADE
a1_liveusa,Adult 1 - Come to Live in the United States (Year)
a1_marital,Adult 1 - Marital Status
a1_menthealth,Adult 1 - Mental or Emotional Health
a1_physhealth,Adult 1 - Physical Health
a1_relation,Adult 1 - How Related to Child
a1_sex,Adult 1 - Sex
a2_active,Adult 2 - Active Duty
a2_age,Adult 2 - Age in Years
a2_born,Adult 2 - Where Born
a2_deplstat,Adult 2 - Deployment Status
a2_employed,Adult 2 - Current Employment Status
a2_grade,Adult 2 - Highest Completed Year of School
a2_liveusa,Adult 2 - Come to Live in the United States (Year)
a2_marital,Adult 2 - Marital Status
a2_menthealth,Adult 2 - Mental or Emotional Health
a2_physhealth,Adult 2 - Physical Health
a2_relation,Adult 2 - How Related to Child
a2_sex,Adult 2 - Sex
ace1,Hard to Cover Basics Like Food or Housing
ace10,Child Experienced - Treated Unfairly Because of Race
ace11,Child Experienced - Treated Unfairly Because of Health Condition
ace12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
ace3,Child Experienced - Parent or Guardian Divorced
ace4,Child Experienced - Parent or Guardian Died
ace5,Child Experienced - Parent or Guardian Time in Jail
ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
ace7,Child Experienced - Victim of Violence
ace8,Child Experienced - Lived with Mentally Ill
ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem
addtreat,ADD/ADHD - Behavioral Treatment
agepos4,Birth Order of Selected Children in Household
allergies,Allergies
allergies_curr,Allergies Currently
allergies_desc,Allergies Severity Description
althealth,Alternative Health Care
appointment,Needed Health Care Not Received Due to - Getting Appointment
arrangehc,Hours Spent Arranging Health Medical Care
askquestion,"Ask Questions: Who, What, When, Where"
askquestion2,"Ask Questions:  Why, How"
athomehc,Hours Spent Providing Home Health Care
autismmed,Autism ASD - Medication Currently
autismtreat,Autism ASD - Behavioral Treatment
autoimmune,Autoimmune Disease
autoimmune_desc,Autoimmune Disease Description
available,Needed Health Care Not Received Due to - Not Available
avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance
bedtime,How Often - Go to Bed at Same Time
bestforchild,How Often - Work to Decide Together Treatment
birthwt,Birth Weight Status
birthwt_l,Birth Weight is Low (<2500g)
birthwt_oz_s,"Standardized Birth Weight, Ounces"
birthwt_vl,Birth Weight is Very Low (<1500g)
birth_mo,Birth Month
birth_yr,Birth Year
birth_yr_f,BIRTH_YR Data Quality Flag
blindness,Blindness
blood,Blood Disorder
blood_desc,Blood Disorder Severity Description
blood_other,Blood Disorder Other (includes Hemophilia)
blood_screen,Blood Disorder Newborn Screening
bmiclass,"Body Mass Index, Percentile"
bodyimage,Child's concern over body image 
bornusa,Born in the United States
bounceaball,Bounce Ball
breastfedend_day_s,Stopped Breastfeeding - Days (Standardized)
breastfedend_mo_s,Stopped Breastfeeding - Months (Standardized)
breastfedend_wk_s,Stopped Breastfeeding - Weeks (Standardized)
breathing,Difficulty Breathing Past 12 Months
bullied_r,"Bullied, Picked On, or Excluded by Others"
bully,"Bullies Others, Picks on Them, or Excludes Them"
c4q04,Frustrated In Efforts to Get Service
calmdown_r,How Often - Calms Down When Excited
cavities,Difficulty Cavities Past 12 Months
cbsafp_yn,Core Based Statistical Area Status
cerpals_desc,Cerebral Palsy Severity Description
changeage,Doctor Worked with Child to Understand Health Care Changes
clearexp,How Often - Explain Things Good Idea
concussion,Concussion/Brain Injury
confirminjury,Concussion/Brain Injury - Confirmed Injury
coordination,Difficulty Coordination Past 12 Months
countto_r,Can Count How High
covidarrange,COVID - Closed School or Daycare
covidcheckups,COVID - Missed Preventative Check-Ups
currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
currins,Health Insurance Coverage - Currently Covered
cuthours,Past 12 Months -Cut Hours because of Health Conditions
cystfib,Cystic Fibrosis
cystfib_screen,Cystic Fibrosis Newborn Screening
decisions,Health Care Decisions Needed
dentalserv1,Dental Service - Check-up
dentalserv2,Dental Service - Cleaning
dentalserv3,Dental Service - Instructions on Toothbrushing
dentalserv4,Dental Service - X-Rays
dentalserv5,Dental Service - Fluoride Treatment
dentalserv6,Dental Service - Sealant
dentalserv7,Dental Service - Don't Know
dentistvisit,Preventive Dental Visit - How Many Visits
diabetes,Diabetes
diabetes_curr,Diabetes Currently
diabetes_desc,Diabetes Severity Description
directions,Follow Verbal Directions
directions2,Follow Two Step Directions
discussopt,How Often - Provider Discussed Range of Options
distracted,How Often - Easily Distracted
docprivate,Child Spoke with Doctor Privately
docroom,Preventive Visit - How Long with Doctor
downsyn,Down Syndrome
drawacircle,Draw a Circle
drawaface,Draw a Face
drawaperson,Draw a Person
dressing,Difficulty Dressing or Bathing
ebtcards,School Meal Debit 
emosupadv,Emotional Support - Health Condition Support Group
emosupfam,Emotional Support - Other Family or Friend
emosuphcp,Emotional Support - Health Care Provider
emosupmhp,Emotional Support - Counselor
emosupoth,Emotional Support - Other
emosuppeer,Emotional Support - Peer Support Group
emosupspo,Emotional Support - Spouse or Domestic Partner
emosupwor,Emotional Support - Place of Worship
engageconcern,Concerned over Child's Engagement in Eating Behaviors
engage_binge,Eating Engagement - Binging
engage_exercise,Eating Engagement - Over-Exercise
engage_fast,Eating Engagement - Fasting
engage_interest,Eating Engagement - No Interest
engage_noeat,Eating Engagement - Not Eating
engage_picky,Eating Engagement - Picky
engage_pills,Eating Engagement - Pills
engage_purg,Eating Engagement - Purging
errandalone,Difficulty Doing Errands Alone
evalfasd,Evaluation for a Fetal Alcohol Spectrum Disorder Recommended
everhomeless,Homeless or Lived in Shelter 
eyecare1,Eye Doctor Care - Examination
eyecare2,Eye Doctor Care - Corrective Lenses
eyecare3,Eye Doctor Care - Vision Disorder
eyecare4,Eye Doctor Care - Some other care
